Topic,Count,Name,Representation,Representative_Docs
47,27,47_economy_markets_market_inflation,"['economy', 'markets', 'market', 'inflation', 'imf', 'stocks', 'investors', 'plunge', 'affecting', 'stock']","['Stock market week ahead: Israel-Palestine conflict, inflation data, Q2 results set the stage for next week', 'Stocks tumble, demand for safe-haven assets rise as Israel-Hamas conflict has investors worried', ""IMF chief says Israel-Hamas war `devastating' Palestinian economy""]"
48,26,48_bank_west_raid_kill,"['bank', 'west', 'raid', 'kill', 'forces', 'palestinian', 'ministry', 'assailants', 'palestinians', 'shoot']","[' Israel troops kill Palestinian in West Bank raid ', 'Israeli forces kill 2 Palestinians in West Bank raid: ministry', ' Israeli forces kill Palestinian in West Bank raid: ministry ']"
49,26,49_icc_arrest_warrants_prosecutor,"['icc', 'arrest', 'warrants', 'prosecutor', 'seeks', 'warrant', 'leaders', 'crimes', 'netanyahu', 'germany']","['What ICC arrest warrants mean for Israel and Hamas', ' Gaza war: ICC chief prosecutor seeks arrest warrants for Israel PM ... ', ' ICC seeks arrest warrants for Israeli PM, Hamas leaders ']"
50,24,50_iraq_backed_base_syria,"['iraq', 'backed', 'base', 'syria', 'forces', 'militia', 'attacked', 'strikes', 'bases', 'iraqi']","['Five explosions rock military base belonging to an Iran-backed militia in Iraq, three hurtˇ', 'US embassy in Iraq attacked with mortar fire, Iran-backed militia vows further strikes ', 'LIVE UPDATES: Iran-backed militia hits US forces at Iraq air base, injuring 8']"
51,24,51_turkey_erdogan_diplomats_recalls,"['turkey', 'erdogan', 'diplomats', 'recalls', 'ambassador', 'recall', 'recalled', 'ambassadors', 'mcdonald', 'countries']","["" Israel calls back diplomats from Turkey after Erdogan's fiery ... "", ""Israel recalls diplomats from Turkey after Erdogan vows to declare it 'war criminal' "", 'Israel recalls diplomats from Turkey after Erdogan accuses Israeli forces of &#8216;war crimes&#8217; in Gaza']"
52,24,52_maldives_beaches_entry_ban,"['maldives', 'beaches', 'entry', 'ban', 'bans', 'passport', 'holders', 'explore', 'citizens', 'visa']","[' Maldives bans entry of Israeli citizens in solidarity with ... ', 'Explore Indian Beaches, Says Israel After Maldives Ban', 'As Maldives Bans Entry, Israeli Embassy Asks Citizens To Explore &#x27;Beautiful Indian Beaches&#x27;']"
53,23,53_human_rights_council_tb,"['human', 'rights', 'council', 'tb', 'reform', 'talk', 'level', 'walk', 'security', 'national']","['Multiple Vacancies At National Human Rights Commission', 'State of human rights', ' Human Rights in the US ']"
54,22,54_mother_daughter_old_hostage,"['mother', 'daughter', 'old', 'hostage', 'captivity', 'emily', 'held', 'year', 'father', 'heartbreaking']","['22-Year-Old German Woman Missing Since Hamas Attack on Concert Is Dead, Says Mother', 'Stay Next To Me: How Israeli Mother Survived Gaza Captivity With Daughter', 'The father of a 19-year-old Israeli woman held hostage by Hamas militants said on Tuesday that he dreads finding out what his daughter is going through after footage emerged of her.']"
55,22,55_pier_aid_built_weather,"['pier', 'aid', 'built', 'weather', 'cyprus', 'completed', 'constructed', 'ship', 'delivers', 'remove']","['US removes Gaza aid pier due to weather and may not put it back, officials say', 'Gaza receives much-needed aid through new US-built pier, says official', 'US will remove Gaza aid pier due to weather and may not put it back: Officials']"
56,22,56_lebanon_hezbollah_kills_strike,"['lebanon', 'hezbollah', 'kills', 'strike', 'commander', 'pan', 'station', 'fighter', 'lebanese', 'village']","['Israeli strike on south Lebanon kills Hezbollah fighter: sources', 'Israeli strike in Lebanon kills senior Hezbollah commander', 'Israel kills Hezbollah commander in Lebanon strike']"
